Date,Open,High,Low,Close,Volume,Adj Close
2015-07-01,1.1084,1.1084,1.1084,1.1084,0,0
2015-06-30,1.1154,1.1154,1.1154,1.1154,0,0
2015-06-29,1.118,1.118,1.118,1.118,0,0
2015-06-26,1.1156,1.1156,1.1156,1.1156,0,0
2015-06-25,1.1196,1.1196,1.1196,1.1196,0,0
2015-06-24,1.1178,1.1178,1.1178,1.1178,0,0
2015-06-23,1.119,1.119,1.119,1.119,0,0
2015-06-22,1.1378,1.1378,1.1378,1.1378,0,0
2015-06-19,1.1335,1.1335,1.1335,1.1335,0,0
2015-06-18,1.1404,1.1404,1.1404,1.1404,0,0
2015-06-17,1.1244,1.1244,1.1244,1.1244,0,0
2015-06-16,1.1238,1.1238,1.1238,1.1238,0,0
2015-06-15,1.1266,1.1266,1.1266,1.1266,0,0
2015-06-12,1.1278,1.1278,1.1278,1.1278,0,0
2015-06-11,1.1236,1.1236,1.1236,1.1236,0,0
2015-06-10,1.1307,1.1307,1.1307,1.1307,0,0
2015-06-09,1.1284,1.1284,1.1284,1.1284,0,0
2015-06-05,1.1108,1.1108,1.1108,1.1108,0,0
2015-06-04,1.1271,1.1271,1.1271,1.1271,0,0
2015-06-03,1.1285,1.1285,1.1285,1.1285,0,0
2015-06-02,1.113,1.113,1.113,1.113,0,0
2015-06-01,1.0913,1.0913,1.0913,1.0913,0,0
2015-05-29,1.0994,1.0994,1.0994,1.0994,0,0
2015-05-28,1.0914,1.0914,1.0914,1.0914,0,0
2015-05-27,1.0888,1.0888,1.0888,1.0888,0,0
2015-05-26,1.0876,1.0876,1.0876,1.0876,0,0
2015-05-22,1.1033,1.1033,1.1033,1.1033,0,0
2015-05-21,1.1126,1.1126,1.1126,1.1126,0,0
2015-05-20,1.1079,1.1079,1.1079,1.1079,0,0
2015-05-19,1.1151,1.1151,1.1151,1.1151,0,0
2015-05-18,1.1354,1.1354,1.1354,1.1354,0,0
2015-05-15,1.1428,1.1428,1.1428,1.1428,0,0
2015-05-14,1.1368,1.1368,1.1368,1.1368,0,0
2015-05-13,1.1372,1.1372,1.1372,1.1372,0,0
2015-05-12,1.124,1.124,1.124,1.124,0,0
2015-05-11,1.1142,1.1142,1.1142,1.1142,0,0
2015-05-08,1.1241,1.1241,1.1241,1.1241,0,0
2015-05-07,1.1283,1.1283,1.1283,1.1283,0,0
2015-05-06,1.1345,1.1345,1.1345,1.1345,0,0
2015-05-05,1.1174,1.1174,1.1174,1.1174,0,0
2015-05-04,1.1145,1.1145,1.1145,1.1145,0,0
2015-05-01,1.1194,1.1194,1.1194,1.1194,0,0
2015-04-30,1.1162,1.1162,1.1162,1.1162,0,0
2015-04-29,1.1174,1.1174,1.1174,1.1174,0,0
2015-04-28,1.0979,1.0979,1.0979,1.0979,0,0
2015-04-27,1.0892,1.0892,1.0892,1.0892,0,0
2015-04-24,1.0876,1.0876,1.0876,1.0876,0,0
2015-04-23,1.0803,1.0803,1.0803,1.0803,0,0
2015-04-22,1.0729,1.0729,1.0729,1.0729,0,0
2015-04-21,1.0758,1.0758,1.0758,1.0758,0,0
2015-04-20,1.0763,1.0763,1.0763,1.0763,0,0
2015-04-17,1.078,1.078,1.078,1.078,0,0
2015-04-16,1.0742,1.0742,1.0742,1.0742,0,0
2015-04-15,1.0596,1.0596,1.0596,1.0596,0,0
2015-04-14,1.0672,1.0672,1.0672,1.0672,0,0
2015-04-13,1.0582,1.0582,1.0582,1.0582,0,0
2015-04-10,1.0598,1.0598,1.0598,1.0598,0,0
2015-04-09,1.0671,1.0671,1.0671,1.0671,0,0
2015-04-08,1.0818,1.0818,1.0818,1.0818,0,0
2015-04-07,1.085,1.085,1.085,1.085,0,0
2015-04-02,1.0874,1.0874,1.0874,1.0874,0,0
2015-04-01,1.0768,1.0768,1.0768,1.0768,0,0
2015-03-31,1.0741,1.0741,1.0741,1.0741,0,0
2015-03-30,1.0818,1.0818,1.0818,1.0818,0,0
2015-03-27,1.0891,1.0891,1.0891,1.0891,0,0
2015-03-26,1.0919,1.0919,1.0919,1.0919,0,0
2015-03-25,1.0986,1.0986,1.0986,1.0986,0,0
2015-03-24,1.0908,1.0908,1.0908,1.0908,0,0
2015-03-23,1.0928,1.0928,1.0928,1.0928,0,0
2015-03-20,1.0792,1.0792,1.0792,1.0792,0,0
2015-03-19,1.0621,1.0621,1.0621,1.0621,0,0
2015-03-18,1.0643,1.0643,1.0643,1.0643,0,0
2015-03-17,1.0605,1.0605,1.0605,1.0605,0,0
2015-03-16,1.0575,1.0575,1.0575,1.0575,0,0
2015-03-13,1.0524,1.0524,1.0524,1.0524,0,0
2015-03-12,1.0615,1.0615,1.0615,1.0615,0,0
2015-03-11,1.0576,1.0576,1.0576,1.0576,0,0
2015-03-10,1.0707,1.0707,1.0707,1.0707,0,0
2015-03-09,1.0846,1.0846,1.0846,1.0846,0,0
2015-03-06,1.0855,1.0855,1.0855,1.0855,0,0
2015-03-05,1.1006,1.1006,1.1006,1.1006,0,0
2015-03-04,1.107,1.107,1.107,1.107,0,0
2015-03-03,1.1212,1.1212,1.1212,1.1212,0,0
2015-03-02,1.119,1.119,1.119,1.119,0,0
2015-02-27,1.1197,1.1197,1.1197,1.1197,0,0
2015-02-26,1.1212,1.1212,1.1212,1.1212,0,0
2015-02-25,1.1363,1.1363,1.1363,1.1363,0,0
2015-02-24,1.1307,1.1307,1.1307,1.1307,0,0
2015-02-23,1.1346,1.1346,1.1346,1.1346,0,0
2015-02-20,1.1372,1.1372,1.1372,1.1372,0,0
2015-02-19,1.1392,1.1392,1.1392,1.1392,0,0
2015-02-18,1.1342,1.1342,1.1342,1.1342,0,0
2015-02-17,1.1395,1.1395,1.1395,1.1395,0,0
2015-02-13,1.1408,1.1408,1.1408,1.1408,0,0
2015-02-12,1.141,1.141,1.141,1.141,0,0
2015-02-11,1.13,1.13,1.13,1.13,0,0
2015-02-10,1.1316,1.1316,1.1316,1.1316,0,0
2015-02-09,1.1316,1.1316,1.1316,1.1316,0,0
2015-02-06,1.133,1.133,1.133,1.133,0,0
2015-02-05,1.1432,1.1432,1.1432,1.1432,0,0
2015-02-04,1.1418,1.1418,1.1418,1.1418,0,0
2015-02-03,1.1462,1.1462,1.1462,1.1462,0,0
2015-02-02,1.1337,1.1337,1.1337,1.1337,0,0
2015-01-30,1.129,1.129,1.129,1.129,0,0
2015-01-29,1.1308,1.1308,1.1308,1.1308,0,0
2015-01-28,1.1342,1.1342,1.1342,1.1342,0,0
2015-01-27,1.137,1.137,1.137,1.137,0,0
2015-01-23,1.1279,1.1279,1.1279,1.1279,0,0
2015-01-22,1.1414,1.1414,1.1414,1.1414,0,0
2015-01-21,1.1584,1.1584,1.1584,1.1584,0,0
2015-01-20,1.1559,1.1559,1.1559,1.1559,0,0
2015-01-16,1.1517,1.1517,1.1517,1.1517,0,0
2015-01-15,1.1598,1.1598,1.1598,1.1598,0,0
2015-01-14,1.1806,1.1806,1.1806,1.1806,0,0
2015-01-13,1.1779,1.1779,1.1779,1.1779,0,0
2015-01-12,1.1832,1.1832,1.1832,1.1832,0,0
2015-01-09,1.183,1.183,1.183,1.183,0,0
2015-01-08,1.1811,1.1811,1.1811,1.1811,0,0
2015-01-07,1.182,1.182,1.182,1.182,0,0
2015-01-06,1.1936,1.1936,1.1936,1.1936,0,0
2015-01-05,1.1918,1.1918,1.1918,1.1918,0,0
2015-01-02,1.2015,1.2015,1.2015,1.2015,0,0
2014-12-31,1.2101,1.2101,1.2101,1.2101,0,0
2014-12-30,1.2174,1.2174,1.2174,1.2174,0,0
2014-12-29,1.2179,1.2179,1.2179,1.2179,0,0
2014-12-24,1.2188,1.2188,1.2188,1.2188,0,0
2014-12-23,1.218,1.218,1.218,1.218,0,0
2014-12-22,1.2252,1.2252,1.2252,1.2252,0,0
2014-12-19,1.2235,1.2235,1.2235,1.2235,0,0
2014-12-18,1.2291,1.2291,1.2291,1.2291,0,0
2014-12-17,1.2406,1.2406,1.2406,1.2406,0,0
2014-12-16,1.2504,1.2504,1.2504,1.2504,0,0
2014-12-15,1.247,1.247,1.247,1.247,0,0
2014-12-12,1.2484,1.2484,1.2484,1.2484,0,0
2014-12-11,1.2397,1.2397,1.2397,1.2397,0,0
2014-12-10,1.2425,1.2425,1.2425,1.2425,0,0
2014-12-09,1.2415,1.2415,1.2415,1.2415,0,0
2014-12-08,1.2292,1.2292,1.2292,1.2292,0,0
2014-12-05,1.2304,1.2304,1.2304,1.2304,0,0
2014-12-04,1.2432,1.2432,1.2432,1.2432,0,0
2014-12-03,1.2304,1.2304,1.2304,1.2304,0,0
2014-12-02,1.239,1.239,1.239,1.239,0,0
2014-12-01,1.249,1.249,1.249,1.249,0,0
2014-11-28,1.2438,1.2438,1.2438,1.2438,0,0
2014-11-26,1.2503,1.2503,1.2503,1.2503,0,0
2014-11-25,1.2472,1.2472,1.2472,1.2472,0,0
2014-11-24,1.2427,1.2427,1.2427,1.2427,0,0
2014-11-21,1.2394,1.2394,1.2394,1.2394,0,0
2014-11-20,1.2526,1.2526,1.2526,1.2526,0,0
2014-11-19,1.2548,1.2548,1.2548,1.2548,0,0
2014-11-18,1.2534,1.2534,1.2534,1.2534,0,0
2014-11-17,1.2447,1.2447,1.2447,1.2447,0,0
2014-11-14,1.2494,1.2494,1.2494,1.2494,0,0
2014-11-13,1.2476,1.2476,1.2476,1.2476,0,0
2014-11-12,1.2456,1.2456,1.2456,1.2456,0,0
