,Date,Open,High,Low,Close,Volume,Adj Close
1,2018-06-29,0.7391,0.7391,0.7391,0.7391,0,0
2,2018-06-28,0.7353,0.7353,0.7353,0.7353,0,0
3,2018-06-27,0.738,0.738,0.738,0.738,0,0
4,2018-06-26,0.7416,0.7416,0.7416,0.7416,0,0
5,2018-06-25,0.7419,0.7419,0.7419,0.7419,0,0
6,2018-06-22,0.7398,0.7398,0.7398,0.7398,0,0
7,2018-06-21,0.736,0.736,0.736,0.736,0,0
8,2018-06-20,0.7402,0.7402,0.7402,0.7402,0,0
9,2018-06-19,0.738,0.738,0.738,0.738,0,0
10,2018-06-18,0.745,0.745,0.745,0.745,0,0
11,2018-06-15,0.7465,0.7465,0.7465,0.7465,0,0
12,2018-06-14,0.7555,0.7555,0.7555,0.7555,0,0
13,2018-06-13,0.7574,0.7574,0.7574,0.7574,0,0
14,2018-06-12,0.7615,0.7615,0.7615,0.7615,0,0
15,2018-06-08,0.7609,0.7609,0.7609,0.7609,0,0
16,2018-06-07,0.7659,0.7659,0.7659,0.7659,0,0
17,2018-06-06,0.7664,0.7664,0.7664,0.7664,0,0
18,2018-06-05,0.7633,0.7633,0.7633,0.7633,0,0
19,2018-06-04,0.7615,0.7615,0.7615,0.7615,0,0
20,2018-06-01,0.7541,0.7541,0.7541,0.7541,0,0
21,2018-05-31,0.7564,0.7564,0.7564,0.7564,0,0
22,2018-05-30,0.7501,0.7501,0.7501,0.7501,0,0
23,2018-05-29,0.7535,0.7535,0.7535,0.7535,0,0
24,2018-05-25,0.7565,0.7565,0.7565,0.7565,0,0
25,2018-05-24,0.7562,0.7562,0.7562,0.7562,0,0
26,2018-05-23,0.7541,0.7541,0.7541,0.7541,0,0
27,2018-05-22,0.7588,0.7588,0.7588,0.7588,0,0
28,2018-05-21,0.7519,0.7519,0.7519,0.7519,0,0
29,2018-05-18,0.7519,0.7519,0.7519,0.7519,0,0
30,2018-05-17,0.754,0.754,0.754,0.754,0,0
31,2018-05-16,0.7484,0.7484,0.7484,0.7484,0,0
32,2018-05-15,0.7508,0.7508,0.7508,0.7508,0,0
33,2018-05-14,0.7549,0.7549,0.7549,0.7549,0,0
34,2018-05-11,0.7534,0.7534,0.7534,0.7534,0,0
35,2018-05-10,0.7458,0.7458,0.7458,0.7458,0,0
36,2018-05-09,0.7435,0.7435,0.7435,0.7435,0,0
37,2018-05-08,0.7514,0.7514,0.7514,0.7514,0,0
38,2018-05-07,0.752,0.752,0.752,0.752,0,0
39,2018-05-04,0.7538,0.7538,0.7538,0.7538,0,0
40,2018-05-03,0.7524,0.7524,0.7524,0.7524,0,0
41,2018-05-02,0.7503,0.7503,0.7503,0.7503,0,0
42,2018-05-01,0.754,0.754,0.754,0.754,0,0
43,2018-04-30,0.757,0.757,0.757,0.757,0,0
44,2018-04-27,0.7545,0.7545,0.7545,0.7545,0,0
45,2018-04-26,0.7574,0.7574,0.7574,0.7574,0,0
46,2018-04-24,0.7608,0.7608,0.7608,0.7608,0,0
47,2018-04-23,0.7673,0.7673,0.7673,0.7673,0,0
