,Date,Open,High,Low,Close,Volume,Adj Close
735,2015-07-01,0.7713,0.7713,0.7713,0.7713,0,0
736,2015-06-30,0.768,0.768,0.768,0.768,0,0
737,2015-06-29,0.7649,0.7649,0.7649,0.7649,0,0
738,2015-06-26,0.7718,0.7718,0.7718,0.7718,0,0
739,2015-06-25,0.7741,0.7741,0.7741,0.7741,0,0
740,2015-06-24,0.7723,0.7723,0.7723,0.7723,0,0
741,2015-06-23,0.7717,0.7717,0.7717,0.7717,0,0
742,2015-06-22,0.7794,0.7794,0.7794,0.7794,0,0
743,2015-06-19,0.7765,0.7765,0.7765,0.7765,0,0
744,2015-06-18,0.7734,0.7734,0.7734,0.7734,0,0
745,2015-06-17,0.7721,0.7721,0.7721,0.7721,0,0
746,2015-06-16,0.7754,0.7754,0.7754,0.7754,0,0
747,2015-06-15,0.7711,0.7711,0.7711,0.7711,0,0
748,2015-06-12,0.7738,0.7738,0.7738,0.7738,0,0
749,2015-06-11,0.7762,0.7762,0.7762,0.7762,0,0
750,2015-06-10,0.7734,0.7734,0.7734,0.7734,0,0
751,2015-06-09,0.7692,0.7692,0.7692,0.7692,0,0
752,2015-06-05,0.7699,0.7699,0.7699,0.7699,0,0
753,2015-06-04,0.7725,0.7725,0.7725,0.7725,0,0
754,2015-06-03,0.7799,0.7799,0.7799,0.7799,0,0
755,2015-06-02,0.7684,0.7684,0.7684,0.7684,0,0
756,2015-06-01,0.765,0.765,0.765,0.765,0,0
757,2015-05-29,0.7663,0.7663,0.7663,0.7663,0,0
758,2015-05-28,0.7705,0.7705,0.7705,0.7705,0,0
759,2015-05-27,0.7756,0.7756,0.7756,0.7756,0,0
760,2015-05-26,0.783,0.783,0.783,0.783,0,0
761,2015-05-22,0.7923,0.7923,0.7923,0.7923,0,0
762,2015-05-21,0.7901,0.7901,0.7901,0.7901,0,0
763,2015-05-20,0.7915,0.7915,0.7915,0.7915,0,0
764,2015-05-19,0.8001,0.8001,0.8001,0.8001,0,0
765,2015-05-18,0.8015,0.8015,0.8015,0.8015,0,0
766,2015-05-15,0.8043,0.8043,0.8043,0.8043,0,0
767,2015-05-14,0.8122,0.8122,0.8122,0.8122,0,0
768,2015-05-13,0.7967,0.7967,0.7967,0.7967,0,0
769,2015-05-12,0.7927,0.7927,0.7927,0.7927,0,0
770,2015-05-11,0.7885,0.7885,0.7885,0.7885,0,0
771,2015-05-08,0.7901,0.7901,0.7901,0.7901,0,0
772,2015-05-07,0.7983,0.7983,0.7983,0.7983,0,0
773,2015-05-06,0.7957,0.7957,0.7957,0.7957,0,0
774,2015-05-05,0.7894,0.7894,0.7894,0.7894,0,0
775,2015-05-04,0.7835,0.7835,0.7835,0.7835,0,0
776,2015-05-01,0.7903,0.7903,0.7903,0.7903,0,0
777,2015-04-30,0.7981,0.7981,0.7981,0.7981,0,0
778,2015-04-29,0.7993,0.7993,0.7993,0.7993,0,0
779,2015-04-28,0.7879,0.7879,0.7879,0.7879,0,0
780,2015-04-27,0.7827,0.7827,0.7827,0.7827,0,0
781,2015-04-24,0.7778,0.7778,0.7778,0.7778,0,0
782,2015-04-23,0.7748,0.7748,0.7748,0.7748,0,0
783,2015-04-22,0.7766,0.7766,0.7766,0.7766,0,0
784,2015-04-21,0.7696,0.7696,0.7696,0.7696,0,0
785,2015-04-20,0.7817,0.7817,0.7817,0.7817,0,0
786,2015-04-17,0.7791,0.7791,0.7791,0.7791,0,0
787,2015-04-16,0.7743,0.7743,0.7743,0.7743,0,0
788,2015-04-15,0.7595,0.7595,0.7595,0.7595,0,0
789,2015-04-14,0.759,0.759,0.759,0.759,0,0
790,2015-04-13,0.7596,0.7596,0.7596,0.7596,0,0
791,2015-04-10,0.7688,0.7688,0.7688,0.7688,0,0
792,2015-04-09,0.7688,0.7688,0.7688,0.7688,0,0
793,2015-04-08,0.7674,0.7674,0.7674,0.7674,0,0
794,2015-04-07,0.7703,0.7703,0.7703,0.7703,0,0
795,2015-04-02,0.7592,0.7592,0.7592,0.7592,0,0
796,2015-04-01,0.7639,0.7639,0.7639,0.7639,0,0
797,2015-03-31,0.7634,0.7634,0.7634,0.7634,0,0
