,Date,Open,High,Low,Close,Volume,Adj Close
1,2018-06-29,15.73,16.51,14.66,16.09,0,0
2,2018-06-28,17.54,18.99,16.4,16.85,0,0
3,2018-06-27,16.52,18.19,14.76,17.91,0,0
4,2018-06-26,16.71,17.54,15.1,15.92,0,0
5,2018-06-25,15.07,19.61,14.56,17.33,0,0
6,2018-06-22,14.6,14.6,13.11,13.77,0,0
7,2018-06-21,12.54,15.18,12.18,14.64,0,0
8,2018-06-20,12.9,13.02,12.25,12.79,0,0
9,2018-06-19,14.61,14.68,13.21,13.35,0,0
10,2018-06-18,12.79,13.74,12.28,12.31,0,0
11,2018-06-15,12.19,13.16,11.93,11.98,0,0
12,2018-06-14,12.98,13.07,11.88,12.12,0,0
13,2018-06-13,12.13,12.95,11.98,12.94,0,0
14,2018-06-12,12.29,12.6,11.88,12.34,0,0
15,2018-06-08,12.54,13.31,12.09,12.18,0,0
16,2018-06-07,11.66,13.28,11.22,12.13,0,0
17,2018-06-06,12.1,12.56,11.62,11.64,0,0
18,2018-06-05,12.91,13.34,12.3,12.4,0,0
19,2018-06-04,13.91,13.91,12.69,12.74,0,0
20,2018-06-01,14.92,14.93,13.37,13.46,0,0
21,2018-05-31,14.93,16.29,14.2,15.43,0,0
22,2018-05-30,16.6,16.64,14.65,14.94,0,0
23,2018-05-29,14.39,18.78,14.39,17.02,0,0
24,2018-05-25,12.44,13.52,12.29,13.22,0,0
25,2018-05-24,12.73,14.24,12.53,12.53,0,0
26,2018-05-23,13.5,14.6,12.49,12.58,0,0
27,2018-05-22,13.03,13.42,12.77,13.22,0,0
28,2018-05-21,13.44,13.59,12.78,13.08,0,0
29,2018-05-18,13.18,13.87,13.06,13.42,0,0
30,2018-05-17,13.54,13.86,12.65,13.43,0,0
31,2018-05-16,14.38,14.91,13.21,13.42,0,0
32,2018-05-15,13.13,15.01,12.5,14.63,0,0
33,2018-05-14,12.95,13.28,12.81,12.93,0,0
34,2018-05-11,13.22,13.44,12.65,12.65,0,0
35,2018-05-10,13.36,13.63,12.92,13.23,0,0
36,2018-05-09,14.54,14.63,13.38,13.42,0,0
37,2018-05-08,14.53,15.56,14.52,14.71,0,0
38,2018-05-07,15.32,15.52,14.51,14.75,0,0
39,2018-05-04,15.94,16.92,10.91,14.77,0,0
40,2018-05-03,15.78,18.66,15.43,15.9,0,0
41,2018-05-02,15.48,15.97,14.75,15.97,0,0
42,2018-05-01,15.78,16.82,15.42,15.49,0,0
43,2018-04-30,15.39,16.35,15.13,15.93,0,0
44,2018-04-27,16.22,16.77,15.25,15.41,0,0
45,2018-04-26,18.07,18.12,16.24,16.24,0,0
46,2018-04-24,16.16,19.66,15.37,18.02,0,0
47,2018-04-23,17.29,17.56,15.79,16.34,0,0
48,2018-04-20,16.16,17.5,15.19,16.88,0,0
49,2018-04-19,15.55,16.92,15.16,15.96,0,0
50,2018-04-18,15.3,16.9,14.95,15.6,0,0
51,2018-04-17,16.16,16.27,14.57,15.25,0,0
52,2018-04-16,17.59,17.66,16.38,16.56,0,0
53,2018-04-13,18.27,18.45,17.26,17.41,0,0
54,2018-04-12,19.83,19.92,18.16,18.49,0,0
55,2018-04-11,20.95,21.66,19.64,20.24,0,0
56,2018-04-10,20.51,21.68,20.24,20.47,0,0
57,2018-04-09,21.27,22.02,20.34,21.77,0,0
58,2018-04-06,20.33,23.12,18.6,21.49,0,0
59,2018-04-05,19.76,20.21,18.57,18.94,0,0
60,2018-04-04,21.68,24.51,19.86,20.06,0,0
61,2018-04-03,23.03,23.38,20.92,21.1,0,0
62,2018-03-29,22.87,23.05,19.6,19.97,0,0
63,2018-03-28,22.52,24.94,21.71,22.87,0,0
64,2018-03-27,20.33,24.06,19.84,22.5,0,0
65,2018-03-26,23.41,24.54,20.71,21.03,0,0
66,2018-03-23,24.02,26.01,21.63,24.87,0,0
67,2018-03-22,18.13,23.81,18.12,23.34,0,0
68,2018-03-21,17.76,18.37,16.26,17.86,0,0
69,2018-03-20,18.38,19.31,18.09,18.2,0,0
70,2018-03-19,16.63,21.87,16.56,19.02,0,0
71,2018-03-16,16.6,16.72,15.23,15.8,0,0
72,2018-03-15,16.99,17.41,15.96,16.59,0,0
73,2018-03-14,16.59,17.59,14.94,17.23,0,0
74,2018-03-13,15.7,16.98,15.03,16.35,0,0
75,2018-03-12,15.28,16.35,15.18,15.78,0,0
76,2018-03-09,16.41,16.75,13.31,14.64,0,0
77,2018-03-08,17.56,17.68,14.91,16.54,0,0
78,2018-03-07,20.11,20.49,17.52,17.76,0,0
79,2018-03-06,18.25,19.64,17.68,18.36,0,0
80,2018-03-05,21.55,21.57,17.94,18.73,0,0
81,2018-03-02,22.47,26.22,19.36,19.59,0,0
82,2018-03-01,19.96,25.3,19.57,22.47,0,0
83,2018-02-28,18.08,20.44,15.65,19.85,0,0
84,2018-02-27,15.83,18.98,15.29,18.59,0,0
85,2018-02-26,16.53,16.94,15.8,15.8,0,0
86,2018-02-23,17.96,18.8,16.47,16.49,0,0
87,2018-02-22,20.57,20.61,18.07,18.72,0,0
88,2018-02-21,20.76,21.04,16.97,20.02,0,0
89,2018-02-20,20.53,21.61,19.75,20.6,0,0
90,2018-02-16,18.74,20.99,17.44,19.46,0,0
91,2018-02-15,18.39,20.66,17.6,19.13,0,0
92,2018-02-14,23.48,25.72,18.99,19.26,0,0
93,2018-02-13,26.94,27.82,24.47,24.97,0,0
94,2018-02-12,27.25,29.7,24.42,25.61,0,0
95,2018-02-09,32.18,41.06,27.73,29.06,0,0
96,2018-02-08,27.29,36.17,24.41,33.46,0,0
97,2018-02-07,31.38,31.64,21.17,27.73,0,0
98,2018-02-06,37.32,50.3,22.42,29.98,0,0
99,2018-02-05,18.44,38.8,16.8,37.32,0,0
100,2018-02-02,13.64,17.86,13.64,17.31,0,0
101,2018-02-01,13.05,14.3,12.5,13.47,0,0
102,2018-01-31,14.23,14.44,13.41,13.54,0,0
103,2018-01-30,13.93,15.42,13.88,14.79,0,0
104,2018-01-29,11.71,13.84,11.68,13.84,0,0
105,2018-01-25,11.27,12.01,11.2,11.58,0,0
106,2018-01-24,11,12.19,10.89,11.47,0,0
107,2018-01-23,10.77,11.57,10.76,11.1,0,0
108,2018-01-22,11.59,11.62,10.84,11.03,0,0
109,2018-01-19,12.3,12.33,11.18,11.27,0,0
110,2018-01-18,12.01,12.4,11.62,12.22,0,0
111,2018-01-17,11.35,12.81,11.18,11.91,0,0
112,2018-01-16,10.42,12.41,10.4,11.66,0,0
113,2018-01-12,9.74,10.31,9.54,10.16,0,0
114,2018-01-11,9.69,10.02,9.62,9.88,0,0
115,2018-01-10,10.11,10.85,9.82,9.82,0,0
116,2018-01-09,9.41,10.09,9.37,10.08,0,0
117,2018-01-08,9.61,9.89,9.32,9.52,0,0
118,2018-01-05,9.1,9.54,9,9.22,0,0
119,2018-01-04,9.01,9.31,8.92,9.22,0,0
120,2018-01-03,9.56,9.65,8.94,9.15,0,0
121,2018-01-02,10.95,11.07,9.52,9.77,0,0
122,2017-12-29,10.03,11.06,9.95,11.04,0,0
123,2017-12-28,10.29,10.44,10.07,10.18,0,0
124,2017-12-27,10.04,10.79,9.71,10.47,0,0
125,2017-12-22,9.37,10.18,9.35,9.9,0,0
126,2017-12-21,9.59,9.86,9.2,9.62,0,0
127,2017-12-20,9.69,9.85,8.9,9.72,0,0
128,2017-12-19,9.4,10.15,9.18,10.03,0,0
129,2017-12-18,9.46,9.89,9.24,9.53,0,0
130,2017-12-15,10.12,10.2,9.22,9.42,0,0
131,2017-12-14,9.98,10.54,9.78,10.49,0,0
132,2017-12-13,9.78,10.21,9.65,10.18,0,0
133,2017-12-12,9.36,9.92,9.21,9.92,0,0
134,2017-12-11,9.74,10.08,9.28,9.34,0,0
135,2017-12-08,10,10.06,9.43,9.58,0,0
136,2017-12-07,10.9,11.32,10.12,10.16,0,0
137,2017-12-06,11.63,11.68,10.86,11.02,0,0
138,2017-12-05,11.38,11.67,10.65,11.33,0,0
139,2017-12-04,11.05,11.86,10.26,11.68,0,0
140,2017-12-01,11.19,14.58,10.54,11.43,0,0
141,2017-11-30,10.49,12.05,10.25,11.28,0,0
142,2017-11-29,9.91,10.93,9.81,10.7,0,0
143,2017-11-28,9.72,10.31,9.53,10.03,0,0
144,2017-11-27,10.07,10.26,9.79,9.87,0,0
145,2017-11-24,9.82,9.96,8.56,9.67,0,0
146,2017-11-22,9.6,9.88,9.32,9.88,0,0
147,2017-11-21,10.74,10.78,9.67,9.73,0,0
148,2017-11-20,11.96,12.08,10.44,10.65,0,0
149,2017-11-17,11.75,12.01,11.16,11.43,0,0
150,2017-11-16,12.47,12.52,11.38,11.76,0,0
151,2017-11-15,12.52,14.51,12.33,13.13,0,0
152,2017-11-14,11.53,12.61,11.45,11.59,0,0
153,2017-11-13,11.43,12.18,11,11.5,0,0
154,2017-11-10,10.78,11.58,10.5,11.29,0,0
155,2017-11-09,9.94,12.19,9.79,10.5,0,0
156,2017-11-08,9.79,10.27,9.5,9.78,0,0
157,2017-11-07,9.31,10.31,9.29,9.89,0,0
158,2017-11-06,9.63,9.74,9.38,9.4,0,0
159,2017-11-03,9.83,9.91,8.99,9.14,0,0
160,2017-11-02,10.44,10.89,9.67,9.93,0,0
161,2017-11-01,9.79,10.49,9.74,10.2,0,0
162,2017-10-31,10.34,10.37,9.9,10.18,0,0
163,2017-10-30,10.28,10.89,10.1,10.5,0,0
164,2017-10-27,11.12,11.12,9.74,9.8,0,0
165,2017-10-26,11.17,11.81,10.6,11.3,0,0
166,2017-10-25,11.34,13.2,10.99,11.23,0,0
167,2017-10-24,10.89,11.16,10.39,11.16,0,0
168,2017-10-23,10.25,11.08,9.94,11.07,0,0
169,2017-10-20,9.92,10.04,9.29,9.97,0,0
