,Date,Open,High,Low,Close,Volume,Adj Close
735,2015-07-01,16.63,17.26,15.65,16.09,0,0
736,2015-06-30,17.6,19.8,17.49,18.23,0,0
737,2015-06-29,16.7,19.5,15.82,18.85,0,0
738,2015-06-26,14.13,14.91,13.64,14.02,0,0
739,2015-06-25,12.96,14.16,12.92,14.01,0,0
740,2015-06-24,12.57,13.33,12.01,13.26,0,0
741,2015-06-23,12.5,12.68,11.93,12.11,0,0
742,2015-06-22,13.42,13.46,12.43,12.74,0,0
743,2015-06-19,13.35,14,12.96,13.96,0,0
744,2015-06-18,14.03,14.03,12.54,13.19,0,0
745,2015-06-17,14.66,15.49,14.07,14.5,0,0
746,2015-06-16,15.62,15.62,14.81,14.81,0,0
747,2015-06-15,15.48,15.57,14.91,15.39,0,0
748,2015-06-12,13.31,14.02,13.3,13.78,0,0
749,2015-06-11,13.04,13.22,12.56,12.85,0,0
750,2015-06-10,14.24,14.37,12.96,13.22,0,0
751,2015-06-09,15.18,15.74,14.47,14.47,0,0
752,2015-06-05,15.01,15.65,14.21,14.21,0,0
753,2015-06-04,14.57,15.49,13.99,14.71,0,0
754,2015-06-03,13.73,14.2,13.4,13.66,0,0
755,2015-06-02,14.72,15.05,13.59,14.24,0,0
756,2015-06-01,13.92,14.86,13.47,13.97,0,0
757,2015-05-29,13.59,14.43,13.4,13.84,0,0
758,2015-05-28,13.49,13.99,13.31,13.31,0,0
759,2015-05-27,14.16,14.41,13.05,13.27,0,0
760,2015-05-26,13.45,14.63,13.34,14.06,0,0
761,2015-05-22,12.37,12.37,11.82,12.13,0,0
762,2015-05-21,13.03,13.09,12.09,12.11,0,0
763,2015-05-20,12.9,13.27,12.62,12.88,0,0
764,2015-05-19,12.95,13.13,12.55,12.85,0,0
765,2015-05-18,13.08,13.22,12.55,12.73,0,0
766,2015-05-15,12.46,13.09,12.35,12.38,0,0
767,2015-05-14,13.14,13.29,12.72,12.74,0,0
768,2015-05-13,13.63,14.04,13.06,13.76,0,0
769,2015-05-12,14.73,15.13,13.73,13.86,0,0
770,2015-05-11,13.35,13.85,13,13.85,0,0
771,2015-05-08,13.36,13.42,12.7,12.86,0,0
772,2015-05-07,15.48,15.97,14.81,15.13,0,0
773,2015-05-06,13.93,16.36,13.89,15.15,0,0
774,2015-05-05,13.21,14.41,12.97,14.31,0,0
775,2015-05-04,13.12,13.18,12.1,12.85,0,0
776,2015-05-01,13.98,13.98,12.68,12.7,0,0
777,2015-04-30,13.89,15.29,12.49,14.55,0,0
778,2015-04-29,13.44,14.34,12.61,13.39,0,0
779,2015-04-28,13.26,14.23,12.41,12.41,0,0
780,2015-04-27,12.34,13.4,12.33,13.12,0,0
781,2015-04-24,12.21,13.02,12.16,12.29,0,0
782,2015-04-23,12.96,12.96,12.12,12.48,0,0
783,2015-04-22,12.97,13.8,12.57,12.71,0,0
784,2015-04-21,12.75,13.51,12.66,13.25,0,0
785,2015-04-20,13.67,13.67,12.83,13.3,0,0
786,2015-04-17,13.97,15.02,13.73,13.89,0,0
787,2015-04-16,13.27,13.35,12.5,12.6,0,0
788,2015-04-15,13.58,13.58,12.83,12.84,0,0
789,2015-04-14,14.34,14.74,13.64,13.67,0,0
790,2015-04-13,13.17,14.31,12.71,13.94,0,0
791,2015-04-10,13.2,13.26,12.51,12.58,0,0
792,2015-04-09,14.14,14.59,13.09,13.09,0,0
793,2015-04-08,14.59,14.77,13.75,13.98,0,0
794,2015-04-07,14.57,14.81,14.01,14.78,0,0
795,2015-04-02,15.3,15.51,14.27,14.67,0,0
796,2015-04-01,15.32,16.66,15.08,15.11,0,0
797,2015-03-31,14.97,15.74,14.33,15.29,0,0
798,2015-03-30,14.76,14.76,14.08,14.51,0,0
799,2015-03-27,15.73,15.83,14.19,15.07,0,0
800,2015-03-26,16.64,17.19,15.23,15.8,0,0
801,2015-03-25,13.26,15.55,13.2,15.44,0,0
802,2015-03-24,13.36,13.68,12.59,13.62,0,0
803,2015-03-23,13.52,13.53,12.89,13.41,0,0
804,2015-03-20,13.52,13.53,12.54,13.02,0,0
805,2015-03-19,14.68,14.97,13.84,14.07,0,0
806,2015-03-18,14.6,16.29,13.38,13.97,0,0
807,2015-03-17,16.31,16.37,15.66,15.66,0,0
808,2015-03-16,15.78,15.89,15.36,15.61,0,0
809,2015-03-13,15.47,16.74,15.32,16,0,0
810,2015-03-12,16.45,16.45,15.3,15.42,0,0
811,2015-03-11,16.44,17.19,16.29,16.87,0,0
812,2015-03-10,16.47,16.91,16.03,16.69,0,0
813,2015-03-09,15.72,15.76,14.71,15.06,0,0
814,2015-03-06,14.61,15.83,14.18,15.2,0,0
815,2015-03-05,14.01,14.58,13.88,14.04,0,0
816,2015-03-04,14.31,15.33,14.13,14.23,0,0
817,2015-03-03,13.35,14.69,13.25,13.86,0,0
818,2015-03-02,13.9,13.9,12.87,13.04,0,0
